Statement,Verbs
"gdy w świętą Barbarę gęś po stawie chodzi, w Boże Narodzenie pływać po nim się godzi","2, 3, 4, 6, 10, 11"
"gdy w świętą Barbarę ostre mrozy, to na zimę gotuj wozy; a gdy roztajanie, każ opatrzyć sanie","2, 3, 5, 7, 9, 11, 19"
"gdy Wawrzyniec i Bartłomiej pogodą dopisują, piękną jesień obiecują","1, 3, 4, 8"
"gdy wietrzno w Michała, będzie mroźna zima cała","3, 7"
"gdy wilk się zestarzeje, skubie go i wrona","1, 6, 8"
"gdy włos siwieje, rozum dojrzeje","1, 4"
"gdy Zuzanna z pogodą chadza, piękną jesień przyprowadza","1, 3, 7"
"gdyby babcia miała wąsy, toby była dziadkiem","1, 3, 7, 8"
"gdyby kózka nie skakała, toby nóżki nie złamała","1, 7"
"gdzie chleb, tam się zęby znajdą","1, 3, 5, 6"
"gdzie diabeł nie może, tam babę pośle","1, 5, 6, 7"
"gdzie drwa rąbią, tam wióry lecą","1, 4, 5, 6"
"gdzie dwóch się bije, tam trzeci korzysta","5, 6"
"gdzie jedna kość, a dwa brytany – tam pokój nie znany","2, 6, 8, 9, 11"
"gdzie kucharek sześć, tam nie ma co jeść","1, 4, 7"
"gdzie nie zagląda słońce, tam zagląda lekarz","3, 5, 7"
"gdzie praca, pilność na straży, tam się bieda wejść nie waży","1, 3, 5, 7, 9, 10"
"gdzie Rzym, gdzie Krym","1, 4"
"gdzie się z chęcią zejdzie praca, tam się hojnie trud opłaca","3, 5, 7, 10"
"gdzie święta Agata, bezpieczna tam chata","1, 2, 5, 6"
"gdzie święta Jagata, bezpieczna tam chata","1, 5, 6"
"gdzie wielu dowódców, tam bitwa przegrana","2, 4, 5, 6"
głód - najlepszy kucharz,"0, 3"
głodnemu chleb na myśli,"0, 1, 3"
głodny głodnemu wypomni,"0, 1"
głową muru nie przebijesz,"0, 1"
głuchemu próżne słowa,2
"głupich nie sieją, sami się rodzą","0, 2"
głupiego wilka i cielęta liżą,"0, 1, 3"
"gość w dom, Bóg w dom","0, 2, 4, 6"
gówno chłopu nie zegarek,"0, 1, 3"
gra w kiery wyrabia maniery,"0, 2, 4"
gra w piki daje wyniki,"0, 2, 4"
gromnica – zimy połowica,"0, 2, 3"
"Gromniczna pogodna, będzie jesień dorodna",4
"grosz do grosza, a będzie kokosza","0, 1, 2, 6"
grudzień – łudzień,0
grzmoty czerwca rozweselają rolnikom serca,"0, 1, 3, 4"
habit nie czyni mnicha,"0, 3"
hulaj dusza – piekła nie ma,"1, 3"
hultajska praca wniwecz się obraca,1
"i Herkules dupa, kiedy ludzi kupa","1, 2, 5, 6"
"i Herkules nie pomoże, kiedy ludzi całe morze","1, 6, 8"
"i król na dziurawym tronie siaduje, gdy dobrze obiaduje","1, 4"
i króla robaki zjedzą,"1, 2"
i na starym krzaku róże kwitną,"2, 3, 4"
i ostatnim kęsem chleba podzielić się z bratem trzeba,"1, 2, 3, 7"
i w Paryżu nie zrobią z gówna ryżu,"2, 6, 7"
i w Paryżu nie zrobią z owsa ryżu,"2, 6, 7"
"i wilk syty, i owca cała","1, 2, 5"
"idzie luty, podkuj buty","0, 1, 4"
"ile wina w głowie, tyle prawdy w słowie","0, 1, 3, 5, 6, 8"
"im kot starszy, tym ogon twardszy","1, 2, 4, 5"
"im na Krzysztofa większe pogody, tym zimą sroższe nastaną lody","2, 4, 6, 7, 10"
"im większa jest praca, tym są milsze znoje","3, 5, 8"
"indyk myślał o niedzieli, a w sobotę łeb mu ścięli","0, 3, 7, 8"
jabłko od jabłoni niedaleko się toczy,"0, 1, 2"
jajko chce być mądrzejsze od kury,"0, 2, 4, 5"
jajko mądrzejsze od kury,"0, 2, 3"
"jak cię widzą, tak cię piszą","0, 4"
"jak drozdy śpiewają na wierzchołkach drzew, wiosna wnet; a jak między gałęziami, to jeszcze het","0, 1, 4, 5, 7, 11, 13, 15"
"jak Kuba Bogu, tak Bóg Kubie","0, 1, 2, 4, 5, 6"
"jak na Matkę Gromniczną, tak na święty Józef","0, 2, 5, 7, 8"
"jak na święty Józef bocian przyleci, to na skrzydłach resztki śniegu przynosi","0, 2, 3, 4, 7, 9, 10, 11"
"jak na święty Maciej ciepło, to się będzie długo wlekło","0, 2, 3, 4, 6"
"jak pies je, to nie szczeka","0, 1, 4"
"jak pies je, to nie szczeka, bo mu miska ucieka","0, 1, 4, 10"
"jak się baby nie bije, to jej wątroba gnije","0, 2, 6, 8"
"jak się chce psa uderzyć, kij się znajdzie","0, 3, 6, 8"
"jak się córka urodzi, to jakby się siedmiu złodziei do komory podkopało","0, 2, 5, 9, 10, 11"
"jak się człowiek spieszy, to się diabeł cieszy","0, 2, 5, 7"
"jak się drzewo powali, każdy je rąbie i pali","0, 2, 7, 9"
"jak się Katarzyna głosi, tak się Nowy Rok nosi","0, 2, 5, 7, 8"
"jak się nie ma, co się lubi, to się lubi, co się ma","0, 5, 7, 9, 11, 13"
"jak się nie ma, co się mówi, to się leży, z kim się gra","0, 5, 9, 11, 14, 16"
"jak się zalecał, to obiecał; jak dostał, to przestał","0, 4, 7, 10"
"jak śnieg w świętego Błażeja, pogodna będzie Wielka Niedziela","0, 1, 3, 4, 8, 9"
"jak sobie pościelesz, tak się wyśpisz","0, 1, 4"
"jak styczeń zachlapany, to lipiec zapłakany","0, 1, 4, 5"
"jak świat światem, nie będzie Niemiec Polakowi bratem","0, 1, 2, 6, 7, 8"
"jak święta Agnieszka wypuści śnieg z mieszka, to go nie powstrzyma ani do Franciszka","0, 1, 2, 4, 6, 8, 9, 13, 14"
"jak trwoga, to do Boga","0, 1, 3, 4, 5"
"jak ty komu, tak on tobie","0, 2, 4"
"jak w gromadzie, to sporzej; jak samemu, to gorzej","0, 2, 4, 7, 10"
"jak w świętą Annę deszcz pada, to robak orzechy zjada","0, 2, 3, 4, 7, 8, 9"
"jak za króla Sasa: jedz, pij i popuszczaj pasa","0, 2, 3, 10"
"jaka Gromniczna bracie, taki Święty Maciej","0, 2, 4, 5, 6"
"jaka jabłoń, takie jabłka","0, 1, 4"
"jaka jabłoń, takie jabłko","0, 1, 4"
"jaka mać, taka nać","0, 1, 3, 4"
"jaka Małgorzatka, takie będzie pół latka","0, 1, 5, 6"
"jaka matka, taka córka","0, 1, 3, 4"
"jaka płaca, taka praca","0, 1, 3, 4"
"jaka praca, taka płaca","0, 1, 3, 4"
"jaki Bartek, taki wrzesień, jaki Marcin, taka zima","0, 1, 3, 4, 6, 7, 9, 10"
"jaki chleb, taka skórka, jaka matka, taka córka","0, 1, 3, 4, 6, 7, 9, 10"
"jaki dzień Bartłomieja, takiej jesieni nadzieja","0, 1, 2, 5, 6"
"jaki Michał, taka wiosna","0, 1, 3, 4"
"jaki ojciec, taki syn","0, 1, 3, 4"
"jaki pan, taki kram","0, 1, 3, 4"
"jaki wół, taka skóra, jaka mać, taka córa","0, 1, 3, 4, 6, 7, 9, 10"
